hotel,Price,rating,reviews,loc
Riyadh Airport Marriott Hotel,"SAR1,000 ",7.9,"1,646 reviews",25.7 km from center
,,,,
Le Meridien Riyadh,"SAR1,190 ",8.1,870 reviews,3.9 km from center
,,,,
Meral Crown Hotel,SAR405 ,7.8,"1,135 reviews",12.1 km from center
,,,,
"Holiday Inn Meydan, an IHG Hotel",SAR475 ,7.6,"2,542 reviews",2.2 km from center
,,,,
Radisson Hotel Riyadh Airport,SAR631 ,7.6,535 reviews,24.4 km from center
,,,,
Almasem Luxury Hotel suite 6,SAR250 ,8.2,"1,414 reviews",11.4 km from center
,,,,
"Al Faisaliah Hotel, Riyadh","SAR2,550 ",7.3,"2,359 reviews",0.8 km from center
,,,,
Sanam Hotel Suites - Riyadh,SAR285 ,7.1,"1,906 reviews",2 km from center
,,,,
OYO 123 Dome El Nozha,SAR252 ,8.2,"3,602 reviews",7.9 km from center
,,,,
Holiday Khaleej Hotel,SAR557.23 ,7.9,"1,840 reviews",11.6 km from center
,,,,
Quetzal Aparthotel,SAR540 ,8.1,"1,781 reviews",11.6 km from center
,,,,
"Park Inn by Radisson, Riyadh",SAR360 ,7.7,561 reviews,5.2 km from center
,,,,
Hayat Rose Hotel Apartments,SAR398 ,8.2,"1,118 reviews",9.2 km from center
,,,,
"Marriott Executive Apartments Riyadh, Convention Center",SAR950 ,7.5,960 reviews,3.4 km from center
,,,,
Rafa Homes,SAR350 ,,,11.5 km from center
,,,,
Holiday Khaleej Hotel,SAR557.23 ,8.2,"3,602 reviews",11.6 km from center
,,,,
Ascott Rafal Olaya Riyadh,SAR836 ,7.2,"5,239 reviews",13.8 km from center
,,,,
Hayat Rose Hotel Apartments,SAR398 ,7.7,561 reviews,9.2 km from center
,,,,
Rafa - Al Nuzhah,SAR430 ,8.1,"1,268 reviews",7.1 km from center
,,,,
Swiss International Royal Hotel Riyadh,SAR695 ,8,"1,495 reviews",13.5 km from center
,,,,
Le Meridien Riyadh,"SAR1,190 ",8.1,870 reviews,3.9 km from center
,,,,
Al Mutlaq Hotel Riyadh,SAR348.85 ,7.7,608 reviews,3.8 km from center
,,,,
Hyatt Buyutat,SAR410 ,6.8,"1,376 reviews",2.6 km from center
,,,,
RAND by Wandalus (Formerly Coral Riyadh Suliemaniah),SAR385 ,7.5,612 reviews,1.5 km from center
,,,,
Sanam Hotel Suites - Riyadh,SAR285 ,7.3,"2,359 reviews",2 km from center
,,,,
Al Amoria Apartments,SAR269 ,8.2,67 reviews,7.3 km from center
,,,,
Auris Al Fanar ApartHotel,SAR345 ,7.6,562 reviews,11.9 km from center
,,,,
Kyan Al Yarmouk Suites,SAR300 ,7.7,254 reviews,18.1 km from center
,,,,
Unique Suites,SAR382 ,8.3,338 reviews,5.6 km from center
,,,,
Samaya Suites,SAR360 ,8.1,262 reviews,9.2 km from center
,,,,
